"B17021_001E","B17021_001M","B17021_002E","B17021_002M","B17021_003E","B17021_003M","B17021_004E","B17021_004M","B17021_005E","B17021_005M","B17021_006E","B17021_006M","B17021_007E","B17021_007M","B17021_008E","B17021_008M","B17021_009E","B17021_009M","B17021_010E","B17021_010M","B17021_011E","B17021_011M","B17021_012E","B17021_012M","B17021_013E","B17021_013M","B17021_014E","B17021_014M","B17021_015E","B17021_015M","B17021_016E","B17021_016M","B17021_017E","B17021_017M","B17021_018E","B17021_018M","B17021_019E","B17021_019M","B17021_020E","B17021_020M","B17021_021E","B17021_021M","B17021_022E","B17021_022M","B17021_023E","B17021_023M","B17021_024E","B17021_024M","B17021_025E","B17021_025M","B17021_026E","B17021_026M","B17021_027E","B17021_027M","B17021_028E","B17021_028M","B17021_029E","B17021_029M","B17021_030E","B17021_030M","B17021_031E","B17021_031M","B17021_032E","B17021_032M","B17021_033E","B17021_033M","B17021_034E","B17021_034M","B17021_035E","B17021_035M","GEO_ID","NAME"
"1402","473","25","22","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","25","22","20","23","20","23","0","13","5","5","1377","473","1226","476","847","453","847","453","0","13","379","229","283","217","245","179","38","55","96","74","82","61","14","21","151","156","52","34","38","28","14","20","99","134","1500000US060855120221","Block Group 1, Census Tract 5120.22, Santa Clara County, California"
"2396","496","267","154","206","150","153","148","134","145","19","28","53","46","0","13","0","13","0","13","53","46","38","43","15","21","61","43","52","45","52","45","0","13","9","14","2129","520","1886","520","1165","335","1165","335","0","13","721","381","64","56","60","52","4","7","657","377","649","375","8","19","243","87","221","80","199","79","22","20","22","27","1500000US060855120222","Block Group 2, Census Tract 5120.22, Santa Clara County, California"
"2557","1135","829","1131","796","1130","746","1129","746","1129","0","13","50","64","9","17","9","17","0","13","41","61","22","33","19","28","33","28","22","24","22","24","0","13","11","12","1728","402","1504","406","1070","386","1070","386","0","13","434","271","215","200","170","158","45","47","219","184","188","158","31","46","224","99","159","73","97","58","62","42","65","40","1500000US060855120223","Block Group 3, Census Tract 5120.22, Santa Clara County, California"
"1882","500","95","78","78","76","25","42","25","42","0","13","53","62","0","13","0","13","0","13","53","62","53","62","0","13","17","16","6","11","0","13","6","11","11","13","1787","500","1457","540","1082","484","1050","461","32","38","375","230","141","155","141","155","0","13","234","167","217","159","17","27","330","147","213","83","120","51","93","58","117","73","1500000US060855120231","Block Group 1, Census Tract 5120.23, Santa Clara County, California"
"1844","522","27","31","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","27","31","27","31","27","31","0","13","0","13","1817","522","1562","507","1114","355","1114","355","0","13","448","358","268","319","268","319","0","13","180","161","180","161","0","13","255","179","134","75","48","40","86","72","121","111","1500000US060855120232","Block Group 2, Census Tract 5120.23, Santa Clara County, California"
"1857","479","153","85","106","77","16","26","16","26","0","13","90","70","0","13","0","13","0","13","90","70","90","70","0","13","47","36","22","26","22","26","0","13","25","25","1704","484","1361","487","668","347","668","347","0","13","693","421","216","312","143","216","73","100","477","274","439","261","38","40","343","133","217","75","130","65","87","49","126","78","1500000US060855120233","Block Group 3, Census Tract 5120.23, Santa Clara County, California"
"1172","318","62","53","45","48","45","48","23","36","22","31","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","20","5","7","5","7","0","13","12","17","1110","311","1040","315","838","309","838","309","0","13","202","134","115","119","89","92","26","27","87","67","87","67","0","13","70","63","41","38","23","25","18","28","29","33","1500000US060855120241","Block Group 1, Census Tract 5120.24, Santa Clara County, California"
"1744","408","163","193","163","193","163","193","163","193","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","1581","384","1341","406","1216","409","1216","409","0","13","125","116","39","58","39","58","0","13","86","95","86","95","0","13","240","115","180","82","126","68","54","45","60","48","1500000US060855120242","Block Group 2, Census Tract 5120.24, Santa Clara County, California"
"2370","576","129","96","95","89","55","66","55","66","0","13","40","60","0","13","0","13","0","13","40","60","40","60","0","13","34","31","34","31","23","25","11","18","0","13","2241","586","1916","587","1576","569","1576","569","0","13","340","205","67","76","67","76","0","13","273","187","232","157","41","52","325","168","186","84","86","48","100","81","139","98","1500000US060855120243","Block Group 3, Census Tract 5120.24, Santa Clara County, California"
"2158","393","26","21","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","26","21","0","13","0","13","0","13","26","21","2132","392","1988","376","1694","393","1694","393","0","13","294","169","111","142","96","120","15","23","183","115","171","105","12","19","144","68","136","67","136","67","0","13","8","14","1500000US060855120251","Block Group 1, Census Tract 5120.25, Santa Clara County, California"
"871","310","46","41","33","42","0","13","0","13","0","13","33","42","0","13","0","13","0","13","33","42","0","13","33","42","13","19","13","19","13","19","0","13","0","13","825","300","805","295","530","226","530","226","0","13","275","212","53","70","53","70","0","13","222","216","216","215","6","10","20","25","13","16","7","12","6","11","7","12","1500000US060855120252","Block Group 2, Census Tract 5120.25, Santa Clara County, California"
"2067","359","266","238","240","235","71","80","71","80","0","13","169","211","0","13","0","13","0","13","169","211","169","211","0","13","26","37","26","37","26","37","0","13","0","13","1801","323","1607","320","963","262","963","262","0","13","644","251","104","73","104","73","0","13","540","265","531","266","9","14","194","104","183","99","172","96","11","18","11","18","1500000US060855120261","Block Group 1, Census Tract 5120.26, Santa Clara County, California"
"1798","339","5","10","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","5","10","0","13","0","13","0","13","5","10","1793","338","1700","344","1413","322","1413","322","0","13","287","190","124","139","103","116","21","26","163","128","163","128","0","13","93","58","81","51","63","46","18","21","12","17","1500000US060855120262","Block Group 2, Census Tract 5120.26, Santa Clara County, California"
"1841","444","223","138","212","137","44","58","0","13","44","58","168","132","0","13","0","13","0","13","168","132","160","132","8","13","11","17","11","17","11","17","0","13","0","13","1618","400","1228","416","695","337","695","337","0","13","533","275","71","66","71","66","0","13","462","271","462","271","0","13","390","119","346","104","303","97","43","33","44","33","1500000US060855120271","Block Group 1, Census Tract 5120.27, Santa Clara County, California"
"2672","541","29","33","17","27","17","27","17","27","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","20","0","13","0","13","0","13","12","20","2643","542","2506","553","2403","556","2403","556","0","13","103","89","68","81","68","81","0","13","35","31","35","31","0","13","137","74","91","41","65","35","26","23","46","48","1500000US060855120272","Block Group 2, Census Tract 5120.27, Santa Clara County, California"
"2066","836","58","88","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","58","88","0","13","0","13","0","13","58","88","2008","832","1897","833","1347","468","1347","468","0","13","550","725","21","34","21","34","0","13","529","724","529","724","0","13","111","96","97","91","55","67","42","65","14","33","1500000US060855120291","Block Group 1, Census Tract 5120.29, Santa Clara County, California"
"2269","564","72","88","72","88","24","40","0","13","24","40","48","77","48","77","30","48","18","29","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","2197","545","2073","568","1416","458","1342","426","74","85","657","468","109","106","59","68","50","56","548","458","548","458","0","13","124","70","97","55","82","55","15","23","27","36","1500000US060855120292","Block Group 2, Census Tract 5120.29, Santa Clara County, California"
"527","168","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","527","168","298","134","189","124","189","124","0","13","109","102","0","13","0","13","0","13","109","102","95","89","14","23","229","117","190","76","148","69","42","63","39","57","1500000US060855120293","Block Group 3, Census Tract 5120.29, Santa Clara County, California"
"3313","1601","66","87","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","66","87","49","78","49","78","0","13","17","40","3247","1606","3005","1605","2954","1608","2805","1521","149","236","51","83","0","13","0","13","0","13","51","83","51","83","0","13","242","161","144","82","74","54","70","79","98","94","1500000US060855120294","Block Group 4, Census Tract 5120.29, Santa Clara County, California"
"1540","190","24","23","5","7","0","13","0","13","0","13","5","7","5","7","0","13","5","7","0","13","0","13","0","13","19","22","12","13","0","13","12","13","7","11","1516","188","1381","201","1268","200","1248","201","20","28","113","76","86","72","80","69","6","10","27","24","27","24","0","13","135","53","100","41","81","38","19","16","35","23","1500000US060855120301","Block Group 1, Census Tract 5120.30, Santa Clara County, California"
"1615","353","36","35","36","35","0","13","0","13","0","13","36","35","0","13","0","13","0","13","36","35","17","25","19","27","0","13","0","13","0","13","0","13","0","13","1579","336","1547","341","1155","218","1148","218","7","10","392","296","43","34","38","28","5","9","349","295","309","262","40","59","32","25","26","17","19","13","7","10","6","10","1500000US060855120302","Block Group 2, Census Tract 5120.30, Santa Clara County, California"
"733","203","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","733","203","717","207","495","210","495","210","0","13","222","162","80","89","71","82","9","13","142","138","131","129","11","17","16","19","16","19","16","19","0","13","0","13","1500000US060855120311","Block Group 1, Census Tract 5120.31, Santa Clara County, California"
"1268","314","20","19","10","16","10","16","0","13","10","16","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","11","4","8","4","8","0","13","6","7","1248","313","1207","320","1115","323","1093","321","22","22","92","95","0","13","0","13","0","13","92","95","87","92","5","9","41","29","31","22","25","19","6","9","10","14","1500000US060855120312","Block Group 2, Census Tract 5120.31, Santa Clara County, California"
"1389","350","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","1389","350","1154","337","941","336","941","336","0","13","213","157","159","147","131","117","28","43","54","59","43","47","11","16","235","142","155","113","131","124","24","36","80","108","1500000US060855120313","Block Group 3, Census Tract 5120.31, Santa Clara County, California"
"1053","267","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","1053","267","1032","264","992","268","992","268","0","13","40","63","0","13","0","13","0","13","40","63","40","63","0","13","21","20","21","20","21","20","0","13","0","13","1500000US060855120314","Block Group 4, Census Tract 5120.31, Santa Clara County, California"
"1126","399","343","374","343","374","286","362","286","362","0","13","57","95","0","13","0","13","0","13","57","95","57","95","0","13","0","13","0","13","0","13","0","13","0","13","783","216","664","216","498","232","498","232","0","13","166","132","0","13","0","13","0","13","166","132","166","132","0","13","119","70","109","64","99","62","10","18","10","17","1500000US060855120321","Block Group 1, Census Tract 5120.32, Santa Clara County, California"
"997","239","15","21","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","15","21","13","20","13","20","0","13","2","4","982","240","946","244","809","246","809","246","0","13","137","132","137","132","120","114","17","27","0","13","0","13","0","13","36","26","26","24","26","24","0","13","10","10","1500000US060855120322","Block Group 2, Census Tract 5120.32, Santa Clara County, California"
"771","216","21","32","21","32","21","32","21","32","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","750","218","712","221","584","203","584","203","0","13","128","134","0","13","0","13","0","13","128","134","113","122","15","22","38","23","38","23","38","23","0","13","0","13","1500000US060855120323","Block Group 3, Census Tract 5120.32, Santa Clara County, California"
"2356","346","72","71","66","70","0","13","0","13","0","13","66","70","44","59","44","59","0","13","22","35","22","35","0","13","6","9","6","9","6","9","0","13","0","13","2284","348","2173","353","1829","304","1818","298","11","18","344","245","86","128","70","104","16","24","258","201","258","201","0","13","111","70","102","72","92","77","10","14","9","13","1500000US060855120341","Block Group 1, Census Tract 5120.34, Santa Clara County, California"
"537","189","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","537","189","397","199","289","174","289","174","0","13","108","106","0","13","0","13","0","13","108","106","108","106","0","13","140","60","121","54","103","54","18","18","19","21","1500000US060855120342","Block Group 2, Census Tract 5120.34, Santa Clara County, California"
"2178","395","35","68","26","67","26","67","26","67","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","15","9","15","9","15","0","13","0","13","2143","405","2105","408","1673","437","1656","439","17","20","432","317","0","13","0","13","0","13","432","317","387","280","45","40","38","28","38","28","38","28","0","13","0","13","1500000US060855120351","Block Group 1, Census Tract 5120.35, Santa Clara County, California"
"2807","946","23","26","12","20","0","13","0","13","0","13","12","20","12","20","12","20","0","13","0","13","0","13","0","13","11","18","11","18","11","18","0","13","0","13","2784","947","2710","948","1825","499","1825","499","0","13","885","825","885","825","786","722","99","110","0","13","0","13","0","13","74","40","74","40","74","40","0","13","0","13","1500000US060855120352","Block Group 2, Census Tract 5120.35, Santa Clara County, California"
"2807","444","86","62","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","86","62","63","56","9","15","54","53","23","26","2721","431","2094","430","1876","405","1876","405","0","13","218","113","120","77","113","74","7","11","98","75","98","75","0","13","627","195","437","124","325","99","112","73","190","114","1500000US060855120361","Block Group 1, Census Tract 5120.36, Santa Clara County, California"
"1896","290","115","93","72","77","17","18","0","13","17","18","55","79","55","79","55","79","0","13","0","13","0","13","0","13","43","51","0","13","0","13","0","13","43","51","1781","261","1607","262","1383","286","1383","286","0","13","224","124","28","43","28","43","0","13","196","127","183","112","13","20","174","149","102","64","70","51","32","38","72","102","1500000US060855120362","Block Group 2, Census Tract 5120.36, Santa Clara County, California"
"2018","224","66","48","37","48","37","48","37","48","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","29","29","0","13","0","13","0","13","29","29","1952","229","1826","253","1452","214","1439","210","13","19","374","183","133","117","114","100","19","23","241","143","235","140","6","10","126","74","74","36","24","16","50","39","52","42","1500000US060855120371","Block Group 1, Census Tract 5120.37, Santa Clara County, California"
